text,size
﻿الليالي,0.0,0
ألف,0.30980910488338087,3
عن,0.0034070140213403044,1
من,0.6479892448915505,6
تم,6.970485734756934,2
جمع,5.3935157930063795,1
العمل,4.690735759812086,2
علي,2.597464346510826,1
بابا,3.7366186732166518,1
السندباد,2.597464346510826,1
غرب,10.787031586012759,2
العربية,4.244543958315957,3
الحكايات,5.651174605991452,3
قصة,1.495755048223475,1
كتاب,0.27623061891579626,1
إلى,0.7506388106105488,3
العصر,3.7366186732166518,1
اللغة,1.2679732583933163,1
منذ,4.381617162937762,1
أن,0.04856193903448336,1
النسخة,2.345367879906043,1
منه,3.265873252245717,1
سنة,0.03610897007022057,1
الحضارات,3.7366186732166518,1
الهندي,3.7366186732166518,1
البحري,3.265873252245717,1
السبع,0.0,1
المشهورة,5.3935157930063795,1
التي,2.0523392227791146,3
الخلافة,5.3935157930063795,1
