text,size
﻿الليالي,0.0_0
ألف,0.30980910488338087_3
عن,0.0034070140213403044_1
من,0.6479892448915505_6
تم,6.970485734756934_2
جمع,5.3935157930063795_1
العمل,4.690735759812086_2
علي,2.597464346510826_1
بابا,3.7366186732166518_1
السندباد,2.597464346510826_1
غرب,10.787031586012759_2
العربية,4.244543958315957_3
الحكايات,5.651174605991452_3
قصة,1.495755048223475_1
كتاب,0.27623061891579626_1
إلى,0.7506388106105488_3
العصر,3.7366186732166518_1
اللغة,1.2679732583933163_1
منذ,4.381617162937762_1
أن,0.04856193903448336_1
النسخة,2.345367879906043_1
منه,3.265873252245717_1
سنة,0.03610897007022057_1
الحضارات,3.7366186732166518_1
الهندي,3.7366186732166518_1
البحري,3.265873252245717_1
السبع,0.0_1
المشهورة,5.3935157930063795_1
التي,2.0523392227791146_3
الخلافة,5.3935157930063795_1
